formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,latitude,longitude,displayName,editorialSummary
"Chamberlain Terrace, Ashburn, VA 20147, USA",https://maps.google.com/?cid=11454299726577164131,IAD,0.11447231309332899,1235.0689655172414,6.307605450796679,39.0357165,-77.4605167,Ray Muth Sr. Memorial Park,"A 17-acre park with soccer, football & lacrosse pitches & an accessible trail."
"20750 Marblehead Dr, Ashburn, VA 20147, USA",https://maps.google.com/?cid=13525496097806058839,IAD,0.012164184612194045,1286.7209302325582,6.7263862781025345,39.0418351,-77.4580718,Potomac Green Neighborhood Park,
"Northpark Dr, Ashburn, VA 20147, USA",https://maps.google.com/?cid=17067467112140466943,IAD,0.013484881994531833,1518.2222222222222,7.5602584923981295,39.0539079,-77.45787229999999,Northpark Drive,
"20401 Savin Hill Dr, Ashburn, VA 20147, USA",https://maps.google.com/?cid=18164059980451772001,IAD,0.025352494038334512,1518.2222222222222,7.566709847521764,39.054003699999996,-77.4576482,20401 Savin Hill Dr,
"Sterling, VA 20166, USA",https://maps.google.com/?cid=3678224278796964269,IAD,0.11595568569309196,1111.25,4.98664594869304,39.01520800000001,-77.4371993,Sterling W&OD Trail Parking,
"21293 Smith Switch Rd, Ashburn, VA 20147, USA",https://maps.google.com/?cid=5798007129460749020,IAD,0.12118610274502642,995.45,5.728644442428315,39.027321,-77.4607643,Northern Virginia Regional Pk,
"21826 Pacific Blvd, Sterling, VA 20166, USA",https://maps.google.com/?cid=240337695137814708,IAD,0.09960228539234207,1034.0,4.798214325244917,39.0123787,-77.4369395,"W&OD Trail Detour March 20-24, 2023",
"21293 Smith Switch Rd, Ashburn, VA 20147, USA",https://maps.google.com/?cid=8267248670147029824,IAD,0.1220933487994257,995.45,5.729190318137847,39.0273283,-77.46078109999999,Washington & Old Dominion Railroad Regional Park,"The 45-mile multiuse rail-trail provides a path for hikers, runners, bikers, skaters & even horses."
"20401 Savin Hill Dr, Ashburn, VA 20147, USA",https://maps.google.com/?cid=16369448156757325570,IAD,0.02528364890682835,1513.4411764705883,7.518231895671676,39.0533019,-77.4576596,Central Park - One Loudoun,
"21315 Smith Switch Rd, Ashburn, VA 20147, USA",https://maps.google.com/?cid=7332850751874360842,IAD,0.1850306079814614,982.9090909090909,5.746599660689995,39.0275332,-77.46195089999999,Hampshire Park,"9-acre park featuring 2 lacrosse fields, restrooms & a paved path with access to the W&OD trail."
